states,actions,branching_factor,dynamics_structure,reward_structure,modality,algorithm,runs,seeds_at_floor,final_exploitability_median,runtime_mean_s,runtime_std_s,final_exploitability_mean,final_exploitability_std
80,6,6,additive,multiplicative,A/M,DampedFP:damped,5,0,0.0018063783645629883,3.3849699811078606,0.3156194430525404,0.002946794033050537,0.003316178203275826
80,6,6,additive,multiplicative,A/M,DampedFP:fictitious_play,5,0,0.0013427734375,91.35856358744203,2.637510269202816,0.001615726947784424,0.0013629720638518473
80,6,6,additive,multiplicative,A/M,DampedFP:pure,5,0,0.0074443817138671875,3.288092568144202,0.1497692531524675,0.0070437431335449215,0.00468041570858809
80,6,6,additive,multiplicative,A/M,OMD,5,0,0.9775190353393555,3.8655120990239085,0.19360303738464488,0.8605548560619354,0.22723868328471306
80,6,6,additive,multiplicative,A/M,PI:boltzmann_policy_iteration,5,0,0.538360595703125,3.460784624516964,0.3572781871626256,0.5873501241207123,0.17413106925034288
80,6,6,additive,multiplicative,A/M,PI:policy_iteration,5,1,0.005997657775878906,3.0373554402962326,0.20863225651867282,0.004547774791717529,0.004452115359636011
80,6,6,additive,multiplicative,A/M,PI:smooth_policy_iteration,5,2,1.9073486328125e-06,3.446552896872163,0.17642579490512242,0.0013184070587158204,0.0018662148784387286
80,6,6,additive,multiplicative,A/M,PSO,5,0,4.623113632202148,18.45709496885538,1.2141572952903859,3.5344619035720823,2.809212881063274
80,6,6,multiplicative,additive,M/A,DampedFP:damped,5,1,1.9073486328125e-06,3.3606541750952603,0.1008912281230368,8.573532104492188e-05,0.0001879141410032134
80,6,6,multiplicative,additive,M/A,DampedFP:fictitious_play,5,1,0.0001125335693359375,89.90130002889782,0.7539766442388572,0.00044459104537963867,0.0008554452492405805
80,6,6,multiplicative,additive,M/A,DampedFP:pure,5,1,1.9073486328125e-06,3.2686322182416916,0.30668703624747495,7.93933868408203e-06,1.4508216219460926e-05
80,6,6,multiplicative,additive,M/A,OMD,5,0,0.853485107421875,3.8463535266928375,0.2153750749572366,0.8439543545246124,0.2500123216973871
80,6,6,multiplicative,additive,M/A,PI:boltzmann_policy_iteration,5,0,0.4775514602661133,3.421864857245237,0.2019916836498196,0.567573344707489,0.2526791806476103
80,6,6,multiplicative,additive,M/A,PI:policy_iteration,5,2,1.9073486328125e-06,3.144456545263529,0.23290369812821407,0.00011545419692993164,0.0002554656674357424
80,6,6,multiplicative,additive,M/A,PI:smooth_policy_iteration,5,3,9.5367431640625e-07,3.667449408210814,0.2677025651499208,2.802610397338867e-05,6.050600163022941e-05
80,6,6,multiplicative,additive,M/A,PSO,5,0,4.16081428527832,20.65564683303237,1.273110388257155,3.280710256099701,2.5444761034359127
130,6,6,additive,multiplicative,A/M,DampedFP:damped,5,0,0.00457310676574707,7.880147380474955,0.20518366778807504,0.006475126743316651,0.005733920052983464
130,6,6,additive,multiplicative,A/M,DampedFP:fictitious_play,5,0,0.005888938903808594,97.69245183607563,1.3124597244448035,0.006460738182067871,0.006239338657486867
130,6,6,additive,multiplicative,A/M,DampedFP:pure,5,0,0.008238792419433594,8.425784432701766,0.5852605683591992,0.009660482406616211,0.00915803142570287
130,6,6,additive,multiplicative,A/M,OMD,5,0,0.9199886322021484,8.617656996659935,0.4052652368434697,0.8415008306503295,0.24294662164533232
130,6,6,additive,multiplicative,A/M,PI:boltzmann_policy_iteration,5,0,0.5370359420776367,8.576320383604616,0.670551300369499,0.5859069705009461,0.19922636453996773
130,6,6,additive,multiplicative,A/M,PI:policy_iteration,5,0,0.008465766906738281,7.729949697293341,0.7794134939858547,0.008458292484283448,0.008496021530202045
130,6,6,additive,multiplicative,A/M,PI:smooth_policy_iteration,5,0,0.0086669921875,8.042382796760648,0.516592804655798,0.009098267555236817,0.008792217991083364
130,6,6,additive,multiplicative,A/M,PSO,5,0,5.351862907409668,37.16724413400516,1.9738970329452417,3.9860917568206786,3.0967454558490393
130,6,6,multiplicative,additive,M/A,DampedFP:damped,5,2,1.9073486328125e-06,8.190629959572107,0.30986674699407857,0.0008100748062133789,0.0016579420813145665
130,6,6,multiplicative,additive,M/A,DampedFP:fictitious_play,5,1,9.5367431640625e-05,98.82330335266889,2.2059391597333655,0.00014085769653320311,0.00018158931603448614
130,6,6,multiplicative,additive,M/A,DampedFP:pure,5,1,1.9073486328125e-06,8.30136562269181,0.6879560316420246,0.000819706916809082,0.0016778380626252087
130,6,6,multiplicative,additive,M/A,OMD,5,0,0.8587770462036133,8.686872393731027,0.48140905892686126,0.8617982149124146,0.2933840156872398
130,6,6,multiplicative,additive,M/A,PI:boltzmann_policy_iteration,5,0,0.46944332122802734,8.136290690023452,0.21930155658685574,0.5921755969524384,0.2812848507012221
130,6,6,multiplicative,additive,M/A,PI:policy_iteration,5,1,1.9073486328125e-06,7.827635209541768,0.2664291628086941,0.0009134054183959961,0.0018868671888387365
130,6,6,multiplicative,additive,M/A,PI:smooth_policy_iteration,5,1,2.86102294921875e-06,7.772796928230673,0.3545094626070963,0.0005934476852416992,0.000930088717043355
130,6,6,multiplicative,additive,M/A,PSO,5,0,5.248680114746094,41.845740432199094,3.2149879342122647,3.542739140987396,2.6561124843843875
400,6,6,additive,multiplicative,A/M,DampedFP:damped,5,0,0.011046409606933594,177.68388839801773,9.23406772027194,0.008422529697418213,0.006228667767342396
400,6,6,additive,multiplicative,A/M,DampedFP:fictitious_play,5,0,0.010237693786621094,277.04436655184253,4.189400095520317,0.009868133068084716,0.007482213802228091
400,6,6,additive,multiplicative,A/M,DampedFP:pure,5,0,0.015436172485351562,180.4534629327245,8.473781105660843,0.014751410484313965,0.013764381881134507
400,6,6,additive,multiplicative,A/M,OMD,5,0,0.9906110763549805,181.00480015659704,6.098971000605102,0.8930793881416321,0.27259212729343
400,6,6,additive,multiplicative,A/M,PI:boltzmann_policy_iteration,5,0,0.5638809204101562,178.2808616084978,2.9753991040629164,0.6179984450340271,0.23217778252085425
400,6,6,additive,multiplicative,A/M,PI:policy_iteration,5,0,0.027692794799804688,175.09978555170818,6.833258179542801,0.019688940048217772,0.014977047020492623
400,6,6,additive,multiplicative,A/M,PI:smooth_policy_iteration,5,0,0.00836944580078125,181.43217637902126,10.20585491744319,0.008158767223358154,0.00613254789965864
400,6,6,additive,multiplicative,A/M,PSO,5,0,7.404136657714844,422.3937644849531,27.545130096738685,5.370300906896591,4.224470842433877
400,6,6,multiplicative,additive,M/A,DampedFP:damped,5,2,1.9073486328125e-06,176.19231112785639,8.01210289280463,0.00020763874053955078,0.00040964180457799145
400,6,6,multiplicative,additive,M/A,DampedFP:fictitious_play,5,1,7.534027099609375e-05,274.25679865041747,4.953253864641122,0.00013104677200317382,0.00017779424919892427
400,6,6,multiplicative,additive,M/A,DampedFP:pure,5,2,1.9073486328125e-06,180.50165682965888,8.562567404463143,7.773637771606446e-05,0.00017086201599591356
400,6,6,multiplicative,additive,M/A,OMD,5,0,0.874664306640625,177.03899170616643,3.9244283931972164,0.8651854753494262,0.29397752347247036
400,6,6,multiplicative,additive,M/A,PI:boltzmann_policy_iteration,5,0,0.4886937141418457,173.4633511110209,5.4266774950100105,0.5839554071426392,0.2883865557768028
400,6,6,multiplicative,additive,M/A,PI:policy_iteration,5,2,1.9073486328125e-06,173.9091836030595,3.905963966630935,2.624988555908203e-05,5.623674702203434e-05
400,6,6,multiplicative,additive,M/A,PI:smooth_policy_iteration,5,2,1.9073486328125e-06,178.10908300913871,5.7251861092828005,8.612871170043945e-05,0.00019015911683026353
400,6,6,multiplicative,additive,M/A,PSO,5,0,7.611574172973633,432.3205903257243,23.59278640226069,5.334551984071732,4.08998682242493
